sifra,ime,tip,efekt
44256816,1st Movement Solo,normal spell,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters."
49140998,A Feather of the Phoenix,normal spell,"Discard 1 card, then target 1 card in your Graveyard; return that target to the top of your Deck."
08949584,A Hero Lives,normal spell,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck."
23587624,A Wild Monster Appears!,normal spell,"If your opponent controls a monster and you control no monsters: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage."
28596933,A Wingbeat of Giant Dragon,normal spell,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field."
79015062,A.I. Connect,normal spell,"Reveal 1 Cyberse monster in your hand; apply this effect based on its Attribute, also you cannot Special Summon for the rest of this turn after this card resolves, except Cyberse monsters.<br><li>DARK: Special Summon the revealed monster, and if you do, add 1 Level 4 or lower non-DARK Cyberse monster from your Deck to your hand.<br><li>Other: Shuffle the revealed monster into the Deck, and if you do, add 1 ""@Ignister"" monster with a different Attribute from your Deck to your hand.<br>You can only activate 1 ""A.I. Connect"" per turn."
10493654,A.I. Contact,normal spell,"If ""Ignister A.I.Land"" is in your Field Zone: Reveal 1 ""Ignister A.I.Land"" in your hand; place it on the bottom of the Deck, and if you do, draw 3 cards. You can only activate 1 ""A.I. Contact"" per turn."
59332125,A.I. Love Fusion,normal spell,"Fusion Summon 1 Cyberse Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If you use your ""@Ignister"" monster as Fusion Material, you can also use 1 Link Monster your opponent controls as material. You can only activate 1 ""A.I. Love Fusion"" per turn."
06552971,A.I. Meet You,normal spell,"Reveal 1 Cyberse monster with 2300 ATK in your hand or Extra Deck, and add 1 ""@Ignister"" monster with the same Attribute from your Deck to your hand. During the End Phase of this turn, take 2300 damage if you did not Special Summon the revealed monster, or a monster with the same name, after you resolved this effect. You cannot activate monster effects for the rest of this turn after this card resolves, except Cyberse monsters. You can only activate 1 ""A.I. Meet You"" per turn."
27412542,Abomination's Prison,normal spell,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn."
71422989,Absorb Fusion,normal spell,"Add 1 ""Gem-Knight"" card from your Deck to your hand, then you can apply this effect.<br><li>Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your hand or your side of the field.<br>You can only activate 1 ""Absorb Fusion"" per turn. You cannot Special Summon monsters the turn you activate this card, except ""Gem-Knight"" monsters."
