sifra,ime,tipi,efekt,ATK,DEF,level,atribut,summon condition
14261867,8-Claws Scorpion,"Effect Monster,Insect","Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.                    ",300,200,2,DARK,
04731783,"A Bao A Qu, the Lightless Shadow","Effect Monster,Fiend","FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected Trap Card to your hand instead.                    ",2800,300,,DARK,
51351302,A Man with Wdjat,"Effect Monster,Spellcaster","When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.                    ",1600,1600,4,DARK,
01966438,Abominable Unchained Soul,"Effect Monster,Fiend","You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field.                    ",3000,1500,8,DARK,
60990740,Absolute King Back Jack,"Effect Monster,Fiend","During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.                    ",0,0,1,DARK,
67748760,Absorouter Dragon,"Effect Monster,Dragon","If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.                    ",1200,2800,7,DARK,
37675907,Accel Synchron,"Tuner Monster,Machine","1 Tuner + 1 or more non-Tuner monsters<br>Once per turn: You can send 1 ""Synchron"" monster from your Deck to the Graveyard, then activate 1 of these effects:<br><li>Increase this card's Level by the Level of the sent monster.<br><li>Reduce this card's Level by the Level of the sent monster.<br>During your opponent's Main Phase, you can: Immediately after this effect resolves, Synchro Summon 1 Synchro Monster, using Materials including this card you control (this is a Quick Effect). You can only Synchro Summon ""Accel Synchron(s)"" once per turn.                    ",500,2100,5,DARK,
81555617,Ad Libitum of Despia,"Effect Monster,Fairy","During your Main Phase: You can make all monsters currently on the field gain ATK equal to their own Level x 100, until the end of the opponent's turn. If this card in your hand or field is used as Fusion Material, and sent to the GY or banished: You can target 1 of your ""Despia"" monsters or Level 8 or higher Fusion Monsters, that is banished or in your GY, except ""Ad Libitum of Despia""; Special Summon it. You can only use each effect of ""Ad Libitum of Despia"" once per turn.                    ",1500,2000,8,DARK,
94119480,"Adreus, Keeper of Armageddon","Effect Monster,Fiend",Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up card your opponent controls; destroy it.                    ,2600,1700,5,DARK,2 Level 5 monsters
86377375,"Ahrima, the Wicked Warden","Effect Monster,Fiend","You can discard this card; add 1 ""Lair of Darkness"" from your Deck to your hand. You can Tribute 1 DARK monster; draw 1 card, or, if you Tributed a DARK monster other than this card to activate this effect, you can add 1 DARK monster with 2000 or more DEF from your Deck to your hand, instead. You can only use this effect of ""Ahrima, the Wicked Warden"" once per turn.                    ",1700,0,4,DARK,
28776350,Akashic Magician,"Effect Monster,Spellcaster","Must first be Fusion Summoned. Can attack all your opponent's monsters, once each. Cannot declare an attack unless you send 1 card from your Extra Deck to the GY. Once per turn, if you control this Fusion Summoned card and have 6 or more Fusion Monsters in your GY with different names that mention ""Fallen of Albaz"" as material: You can send all cards in each player's Extra Deck to the GY.                    ",1700,2500,,DARK,"""Fallen of Albaz"" + 6 monsters in your GY with different names"
03410461,Alba-Lenatus the Abyss Dragon,"Effect Monster,Dragon","Cannot be used as Fusion Material. Must be either Fusion Summoned, or Special Summoned by sending the above cards from any Monster Zones to the GY. This card can attack monsters a number of times each Battle Phase, up to the number of materials used for it. Once per turn, during the End Phase, if this card is in the GY because it was sent there this turn: You can add 1 ""Polymerization"" Normal Spell or ""Fusion"" Normal Spell from your Deck to your hand.                    ",2500,2500,8,DARK,"1 ""Fallen of Albaz"" + 1+ Dragon monsters"
37683547,Albaz the Ashen,"Effect Monster,Dragon","This card's name becomes ""Fallen of Albaz"" while on the field or in the GY. While a Level 8 Fusion Monster is in your GY, this card gains 200 ATK for each monster in your GY, also your opponent cannot target other monsters you control with card effects. If a monster(s) you control leaves the field by an opponent's card effect, while this card and a Fusion Monster are in your GY (except during the Damage Step): You can Special Summon this card. You can only use this effect of ""Albaz the Ashen"" once per turn.                    ",1800,0,4,DARK,
87746184,Albion the Branded Dragon,"Effect Monster,Dragon","If this card is Fusion Summoned: You can Fusion Summon 1 Level 8 or lower Fusion Monster from your Extra Deck, except ""Albion the Branded Dragon"", by banishing Fusion Materials listed on it from your hand, field, and/or GY. During the End Phase, if this card is in the GY because it was sent there this turn: You can add to your hand or Set 1 ""Branded"" Spell/Trap directly from your Deck. You can only use each effect of ""Albion the Branded Dragon"" once per turn.                    ",2500,2000,8,DARK,"""Fallen of Albaz"" + 1  LIGHT monster"
25451383,Albion the Shrouded Dragon,"Effect Monster,Dragon","This card's name becomes ""Fallen of Albaz"" while on the field or in the GY. If this card is in your hand or GY: You can send 1 ""Fallen of Albaz"" or 1 ""Branded"" Spell/Trap from your hand or Deck to the GY; apply the following effect based on where you sent it from.<br><li>Hand: Special Summon this card.<br><li>Deck: Place this card on the bottom of the Deck, then, if you placed this card from your hand, draw 1 card.<br>You can only use this effect of ""Albion the Shrouded Dragon"" once per turn.                    ",2500,2000,8,DARK,
65301952,Alchemic Magician,"Effect Monster,Spellcaster","This card gains 200 ATK for each Spell Card in your Graveyard. Once per turn, during your End Phase: You can detach 1 Xyz Material from this card and send 1 card from your hand to the Graveyard; choose 1 Spell Card from your Deck, then Set it in your Spell & Trap Card Zone.                    ",1500,1500,4,DARK,3 Level 4 Spellcaster-Type monsters
98787535,"Aleirtt, the Ogdoadic Dark","Effect Monster,Reptile","If this card is in your GY: You can Tribute 1 monster; Special Summon this card, then your opponent can add 1 monster from their GY to their hand. If this card is Special Summoned: You can target 2 of your banished monsters, including a Reptile monster; return them to the GY. You can only use each effect of ""Aleirtt, the Ogdoadic Dark"" once per turn.                    ",2000,800,8,DARK,
86120751,Aleister the Invoker,"Effect Monster,Spellcaster","During either player's turn: You can send this card from your hand to the Graveyard, then target 1 Fusion Monster you control; it gains 1000 ATK and DEF until the end of this turn. If this card is Normal Summoned or flipped face-up: You can add 1 ""Invocation"" from your Deck to your hand.                    ",1000,1800,4,DARK,
97973962,Aleister the Invoker of Madness,"Effect Monster,Spellcaster","When this card is Normal Summoned: You can target 1 ""Lady of Lament"" monster in your GY; Special Summon it. You can only use each of the following effects of ""Alice, Lady of Lament"" once per turn. You can banish 1 Trap from your hand or GY; Special Summon this card from your hand. If this card is Tributed, or if this card in its owner's possession is destroyed by an opponent's card: You can add 1 Fiend monster whose combined ATK & DEF equal 2000 from your Deck to your hand, except ""Alice, Lady of Lament"".                    ",1800,2000,,DARK,
47728740,"Alich, Malebranche of the Burning Abyss","Effect Monster,Fiend","If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of the following effects of ""Alich, Malebranche of the Burning Abyss"" per turn, and only once that turn.<br><li>If you control no Spell/Trap Cards: You can Special Summon this card from your hand.<br><li>If this card is sent to the Graveyard: You can target 1 face-up monster on the field; negate its effects until the end of this turn.                    ",1200,0,3,DARK,
24104865,Alien Mother,"Effect Monster,Reptile","If this card destroys a monster with an A-Counter by battle and sends it to the Graveyard, Special Summon the destroyed monster to your side of the field at the end of the Battle Phase. When this card is removed from the field, all monsters that were Special Summoned by this card's effect are destroyed.                    ",2300,1500,6,DARK,
63253763,Alien Overlord,"Effect Monster,Reptile","You can remove 2 A-Counters from anywhere on the field to Special Summon this card from your hand. Once per turn, you can place 1 A-Counter on each face-up monster your opponent controls. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) You can only control 1 face-up ""Alien Overlord"".                    ",2200,1600,6,DARK,
58012107,Alien Psychic,"Effect Monster,Reptile",This card is changed to Defense Position when it is Normal Summoned or Flip Summoned. Monsters with A-Counters cannot declare an attack.                    ,200,100,1,DARK,
39138610,Allied Code Talker @Ignister,"Effect Monster,Cyberse","Once per turn, during your Main Phase, you can select 1 Level 3 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV5"" from your hand or Deck.                    ",2300,500,,DARK,
23756165,Allure Queen LV5,"Effect Monster,Spellcaster","Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV3"", you can select 1 Level 5 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV7"" from your hand or Deck.                    ",1000,1000,5,DARK,
50140163,Allure Queen LV7,"Effect Monster,Spellcaster","Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV5"", you can select 1 monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead.                    ",1500,1500,7,DARK,
03544583,Allvain the Essence of Vanity,"Tuner Monster,Fairy",2 Normal Monsters                    ,0,2100,2,DARK,
40155554,Ally Mind,"Tuner Monster,Machine","A high-performance unit developed to enhance the Artificial Intelligence program in Allies of Justice. Loaded with elements collected from a meteor from the Worm Nebula, it allows for high tuning performance, but its true capacity is not yet uncovered.                    ",1800,1400,5,DARK,
26593852,Ally of Justice Catastor,"Effect Monster,Machine","At the start of the Damage Step, if this card battles a non-DARK monster: Destroy that monster.                    ",2200,1200,5,DARK,1 Tuner + 1+ non-Tuner monsters
89386122,Ally of Justice Clausolas,"Normal Monster,Machine","A mighty monster in Mist Valley, and the ultimate weapon designed from Claiomh Solias. Its surprise attacks from above baffle invaders.                    ",2300,1200,6,DARK,
36629203,Ally of Justice Core Destroyer,"Effect Monster,Machine","If this card attacks or is attacked by a LIGHT monster, destroy that monster at the start of the Damage Step (without damage calculation).                    ",1200,200,3,DARK,
08822710,Ally of Justice Cosmic Gateway,"Effect Monster,Machine","If your opponent controls 2 or more monsters, including a LIGHT monster, you can Special Summon this card from your hand.                    ",2400,1200,8,DARK,
08233522,Ally of Justice Cycle Reader,"Tuner Monster,Machine","During either player's turn, you can discard this card to select and remove from play up to 2 LIGHT monsters from your opponent's Graveyard.                    ",1000,1000,3,DARK,
45586855,Ally of Justice Cyclone Creator,"Tuner Monster,Machine","Once per turn, you can discard 1 card from your hand to return Spell/Trap Cards from the field to the hand equal to the number of face-up Tuner monsters on the field.                    ",1400,1200,3,DARK,
09888196,Ally of Justice Decisive Armor,"Effect Monster,Machine","Once per turn, if your opponent controls a face-up LIGHT monster(s), you can activate 1 of these effects:<li>Select 1 Set card your opponent controls and destroy it. <li>Send 1 card from your hand to the Graveyard to destroy all Spell/Trap Cards your opponent controls. <li>Send all cards in your hand to the Graveyard to look at your opponent's hand and send all LIGHT monsters in their hand to the Graveyard. Then, inflict damage to your opponent equal to the total ATK of the opponent's monsters sent to the Graveyard.                    ",3300,3300,10,DARK,1 Tuner + 2 or more non-Tuner monsters.
